GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   MMASib

DATE:   2015-12-27 (year-month-day)
TIME:   18:24:20 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION N_ANTS EVAPORATION SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 5 0.045 9.4868329805051381 10 25050
100 5 0.045 9.4868329805051381 10 21850
100 5 0.045 9.4868329805051381 10 17200
100 5 0.045 9.4868329805051381 10 15700
100 5 0.045 9.4868329805051381 10 16300
100 5 0.045 9.4868329805051381 10 21700
100 5 0.045 9.4868329805051381 10 20350
100 5 0.045 9.4868329805051381 10 17950
100 5 0.045 9.4868329805051381 10 19100
100 5 0.045 9.4868329805051381 10 16900
100 5 0.045 9.4868329805051381 10 34200
100 5 0.045 9.4868329805051381 10 21250
100 5 0.045 9.4868329805051381 10 17900
100 5 0.045 9.4868329805051381 10 16850
100 5 0.045 9.4868329805051381 10 29950
100 5 0.045 9.4868329805051381 10 28700
100 5 0.045 9.4868329805051381 10 19000
100 5 0.045 9.4868329805051381 10 19550
100 5 0.045 9.4868329805051381 10 22500
100 5 0.045 9.4868329805051381 10 16950
100 5 0.045 9.4868329805051381 10 18200
100 5 0.045 9.4868329805051381 10 19550
100 5 0.045 9.4868329805051381 10 20250
100 5 0.045 9.4868329805051381 10 18750
