GLOBAL OPTIMUM SEARCH OF RE-EVALUATED BINARY ONEMAX
WITH ADDED POSTERIOR NOISE ~N(0, SIGMA)

NUMBER OF FITNESS EVALUATIONS FOR   MMASib

DATE:   2015-12-4 (year-month-day)
TIME:   16:6:29 (hour:min:sec)
SEED:   1

EXPERIMENTS PERFORMED ON:   MacBook Pro (13" Retina, Beginning 2015)
OPERATING SYSTEM:   Mac OS X Version 10.11.1
PROCESSOR:   2.7GHz dual-core Intel Core i5 (Turbo Boost up to 3.1GHz) with 3MB shared L3 cache
MEMORY:   8GB of 1866MHz LPDDR3

DIMENSION N_ANTS EVAPORATION SIGMA N_RE_EVALUATIONS N_FITNESS_EVALUATIONS
100 5 0.045 10 5 9900
100 5 0.045 10 5 23175
100 5 0.045 10 5 14475
100 5 0.045 10 5 24475
100 5 0.045 10 5 23750
100 5 0.045 10 5 21400
100 5 0.045 10 5 14875
100 5 0.045 10 5 9700
100 5 0.045 10 5 14200
100 5 0.045 10 5 18300
100 5 0.045 10 5 15525
100 5 0.045 10 5 15475
100 5 0.045 10 5 19000
100 5 0.045 10 5 12400
100 5 0.045 10 5 13550
100 5 0.045 10 5 15575
100 5 0.045 10 5 24225
100 5 0.045 10 5 28750
100 5 0.045 10 5 15850
100 5 0.045 10 5 10500
100 5 0.045 10 5 12800
100 5 0.045 10 5 10450
100 5 0.045 10 5 9875
100 5 0.045 10 5 18875
100 5 0.045 10 6 14010
100 5 0.045 10 6 14550
100 5 0.045 10 6 11520
100 5 0.045 10 6 20580
100 5 0.045 10 6 25200
100 5 0.045 10 6 27120
100 5 0.045 10 6 12600
100 5 0.045 10 6 13530
100 5 0.045 10 6 15780
100 5 0.045 10 6 23220
100 5 0.045 10 6 19170
100 5 0.045 10 6 19770
100 5 0.045 10 6 22470
100 5 0.045 10 6 39900
100 5 0.045 10 6 22470
100 5 0.045 10 6 23730
100 5 0.045 10 6 13470
100 5 0.045 10 6 14340
100 5 0.045 10 6 11010
100 5 0.045 10 6 19080
100 5 0.045 10 6 10650
100 5 0.045 10 6 19320
100 5 0.045 10 6 14400
100 5 0.045 10 6 16440
100 5 0.045 10 6 11130
100 5 0.045 10 6 27030
100 5 0.045 10 6 11460
100 5 0.045 10 6 16230
100 5 0.045 10 6 19650
100 5 0.045 10 6 12840
100 5 0.045 10 6 16140
100 5 0.045 10 6 19110
100 5 0.045 10 6 23400
100 5 0.045 10 6 26340
100 5 0.045 10 6 14790
100 5 0.045 10 6 21750
100 5 0.045 10 6 16920
100 5 0.045 10 6 13290
100 5 0.045 10 6 15450
100 5 0.045 10 6 12660
100 5 0.045 10 6 14820
100 5 0.045 10 6 9450
100 5 0.045 10 6 22020
100 5 0.045 10 6 11610
100 5 0.045 10 6 18360
100 5 0.045 10 6 13560
100 5 0.045 10 6 19680
100 5 0.045 10 6 11610
100 5 0.045 10 6 25650
100 5 0.045 10 6 11940
100 5 0.045 10 6 17220
100 5 0.045 10 6 15120
100 5 0.045 10 6 19290
100 5 0.045 10 6 11490
100 5 0.045 10 6 16710
100 5 0.045 10 6 12150
100 5 0.045 10 6 19710
100 5 0.045 10 6 14010
100 5 0.045 10 6 14070
100 5 0.045 10 6 21540
100 5 0.045 10 6 12900
100 5 0.045 10 6 12750
100 5 0.045 10 6 22290
100 5 0.045 10 6 20250
100 5 0.045 10 6 20220
100 5 0.045 10 6 25860
100 5 0.045 10 6 12360
100 5 0.045 10 6 14940
100 5 0.045 10 6 22020
100 5 0.045 10 6 30210
100 5 0.045 10 6 16980
100 5 0.045 10 6 30630
100 5 0.045 10 6 34710
100 5 0.045 10 6 17880
100 5 0.045 10 6 12390
100 5 0.045 10 6 15900
100 5 0.045 10 6 17820
100 5 0.045 10 6 11880
100 5 0.045 10 6 28110
100 5 0.045 10 6 18540
100 5 0.045 10 6 14640
100 5 0.045 10 6 15330
100 5 0.045 10 6 32610
100 5 0.045 10 6 14040
100 5 0.045 10 6 15780
100 5 0.045 10 6 17790
100 5 0.045 10 6 19920
100 5 0.045 10 6 14730
100 5 0.045 10 6 13770
100 5 0.045 10 6 13230
100 5 0.045 10 6 29190
100 5 0.045 10 6 14880
100 5 0.045 10 6 14100
100 5 0.045 10 6 12720
100 5 0.045 10 6 14130
100 5 0.045 10 6 13470
100 5 0.045 10 6 24720
100 5 0.045 10 6 19410
100 5 0.045 10 6 17010
100 5 0.045 10 6 21660
100 5 0.045 10 7 16065
100 5 0.045 10 7 15120
100 5 0.045 10 7 15505
100 5 0.045 10 7 19635
100 5 0.045 10 7 15155
100 5 0.045 10 7 14875
100 5 0.045 10 7 21665
100 5 0.045 10 7 17045
100 5 0.045 10 7 16625
100 5 0.045 10 7 35455
100 5 0.045 10 7 15190
100 5 0.045 10 7 13475
100 5 0.045 10 7 17465
100 5 0.045 10 7 17360
100 5 0.045 10 7 23380
100 5 0.045 10 7 13790
100 5 0.045 10 7 16695
100 5 0.045 10 7 36540
100 5 0.045 10 7 17185
100 5 0.045 10 7 22855
100 5 0.045 10 7 15470
100 5 0.045 10 7 39935
100 5 0.045 10 7 15575
100 5 0.045 10 7 14280
100 5 0.045 10 7 23065
100 5 0.045 10 7 11970
100 5 0.045 10 7 17325
100 5 0.045 10 7 17920
100 5 0.045 10 7 29575
100 5 0.045 10 7 37835
100 5 0.045 10 7 25480
100 5 0.045 10 7 13335
100 5 0.045 10 7 16730
100 5 0.045 10 7 19810
100 5 0.045 10 7 47950
100 5 0.045 10 7 30310
100 5 0.045 10 7 16380
100 5 0.045 10 7 20440
100 5 0.045 10 7 17290
100 5 0.045 10 7 17990
100 5 0.045 10 7 27090
100 5 0.045 10 7 13300
100 5 0.045 10 7 12355
100 5 0.045 10 7 18410
100 5 0.045 10 7 17570
100 5 0.045 10 7 14175
100 5 0.045 10 7 14035
100 5 0.045 10 7 13125
100 5 0.045 10 7 15820
100 5 0.045 10 7 19705
100 5 0.045 10 7 20300
100 5 0.045 10 7 12565
100 5 0.045 10 7 16310
100 5 0.045 10 7 17045
100 5 0.045 10 7 17290
100 5 0.045 10 7 26740
100 5 0.045 10 7 22960
100 5 0.045 10 7 16905
100 5 0.045 10 7 22120
100 5 0.045 10 7 12005
100 5 0.045 10 7 18130
100 5 0.045 10 7 15470
100 5 0.045 10 7 35980
100 5 0.045 10 7 17885
100 5 0.045 10 7 16065
100 5 0.045 10 7 12530
100 5 0.045 10 7 15015
100 5 0.045 10 7 14595
100 5 0.045 10 7 16520
100 5 0.045 10 7 19040
100 5 0.045 10 7 20685
100 5 0.045 10 7 18235
100 5 0.045 10 7 15050
100 5 0.045 10 7 19985
100 5 0.045 10 7 14875
100 5 0.045 10 7 14735
100 5 0.045 10 7 15820
100 5 0.045 10 7 12495
100 5 0.045 10 7 14280
100 5 0.045 10 7 16625
100 5 0.045 10 7 34860
100 5 0.045 10 7 24395
100 5 0.045 10 7 16905
100 5 0.045 10 7 13440
100 5 0.045 10 7 16065
100 5 0.045 10 7 17570
100 5 0.045 10 7 20545
100 5 0.045 10 7 15505
100 5 0.045 10 7 20055
100 5 0.045 10 7 12880
100 5 0.045 10 7 31255
100 5 0.045 10 7 14035
100 5 0.045 10 7 17395
100 5 0.045 10 7 13090
100 5 0.045 10 7 12355
100 5 0.045 10 7 16170
100 5 0.045 10 7 12460
100 5 0.045 10 7 26985
100 5 0.045 10 7 15260
100 5 0.045 10 7 17220
100 5 0.045 10 8 16000
100 5 0.045 10 8 21920
100 5 0.045 10 8 34960
100 5 0.045 10 8 15840
100 5 0.045 10 8 26240
100 5 0.045 10 8 18000
100 5 0.045 10 8 14840
